????,day1,day2,day3,day4,day5,day6,?????,1,day1,day2,day3,day4,day5,day6,?????,,,,,,
,34.5,34.88333333,34.86666667,33.8,33.8,27.83333333,,150,34.95,35.78,36.4,34.1,34.6,29.60666667,,1.35,1.38,2.3,1.6,2.1,2.29
,34.38333333,34.8,34.8,33.76666667,33.76666667,27.86666667,,151,34.63,35.83,36.2,34.06,34.48,29.42,,1.03,1.43,2.1,1.56,1.98,2.12
,33.2,34.26666667,33.88333333,31.6,31.6,26.58333333,,152,32.83666667,34,33.46,31.94,31.6,26.4,,0.07,0,-0.09,0.14,-0.2,-0.3
,33.21666667,34.3,33.8,31.6,31.6,26.6,,153,32.93,34.13,33.65333333,32.12,31.6,26.7,,0.23,0.13,-0.03,0.32,-0.2,0
,33.3,34.28333333,33.78333333,31.6,31.6,26.6,,154,33.1,34.39,33.75666667,32.16,31.72,26.7,,0.4,0.33,0.14,0.36,-0.08,0
,33.3,34.25,33.78333333,31.6,31.6,26.56666667,,155,33.1,34.56,33.77666667,32.39,31.75,26.9,,0.4,0.44,0.31,0.54,-0.1,0.2
,33.3,34.25,33.63333333,31.6,31.6,26.58333333,,156,33.1,34.82,33.82666667,32.31,31.7,26.65,,0.4,0.67,0.31,0.41,-0.2,-0.05
,33.3,34.3,33.45,31.6,31.6,26.51666667,,157,33.1,34.63,33.77333333,32.44,31.7,26.75,,0.4,0.52,0.24,0.54,-0.2,0.05
,33.4,34.3,34.05,31.5,31.5,26.46666667,,158,33.3,34.71,34.02,32.4,32.1,26.9,,0.6,0.63,0.52,0.5,0.2,0.2
,33.4,34.28333333,34.1,31.58333333,31.58333333,26.4,,159,33.33666667,34.78,34.19,32.58,32.27,26.9,,0.67,0.76,0.59,0.68,0.37,0.15
,33.6,34.3,34.06666667,31.56666667,31.56666667,26.4,,160,33.38666667,34.98,34.23333333,32.49,32.23,27.1,,0.77,0.88,0.7,0.59,0.33,0.3
,34.08333333,34.23333333,34.06666667,31.6,31.6,26.4,,161,33.56,35.1,34.35333333,32.67,32.3,27.1,,0.96,1,0.87,0.77,0.4,0.3
,34.01666667,34.3,33.91666667,31.65,31.65,26.4,,162,33.68,34.99666667,34.15666667,32.72,32.3,27.1,,1.08,0.93,0.59,0.72,0.3,0.3
,33.96666667,34.3,33.85,31.7,31.7,26.48333333,,163,33.78333333,34.99666667,34.24,32.9,32.4,27.35,,1.15,0.93,0.59,0.9,0.4,0.55
,33.95,34.31666667,33.73333333,31.7,31.7,26.48333333,,164,33.79,35.16666667,34.46333333,33.13,32.4,27.35,,1.14,1.2,0.93,1.13,0.4,0.55
,33.91666667,34.3,33.6,31.71666667,31.71666667,26.5,,165,33.84,35.10333333,34.04666667,33.35,32.43,27.4,,1.14,1.07,0.53,1.35,0.43,0.6
,33.85,34.3,33.51666667,31.78333333,31.78333333,26.5,,166,34.18666667,34.95333333,34.50333333,33.22666667,32.59666667,27.55,,1.47,0.87,0.87,1.26,0.63,0.75
,33.78333333,34.25,33.51666667,31.8,31.8,26.5,,167,34.03333333,35.06666667,34.47,33.22,32.6,27.7,,1.3,1.05,0.82,1.22,0.6,0.9
,33.71666667,34.2,33.6,31.8,31.8,26.5,,168,33.86666667,34.99666667,34.58666667,33.49,32.6,27.8,,1.1,0.93,0.87,1.49,0.6,0.9
